Crisis ID,Type of Personal Crisis,What,Where,When,How,Severity,Duration
52,Mental Health Concern,anxiety,"134 Riddle Harbor, Doylemouth, AR 47690",17-05-2020 21:37,stress,very high,within 1 hour
53,Relationship Issue,breakup,"076 Lori Turnpike Suite 642, Adkinsland, DC 28582",29-12-2022 09:14,relationship issue,moderate,within 6 hours
54,Relationship Issue,loneliness,"8160 Robert Track, West Katie, VT 81814",31-08-2021 11:29,relationship issue,moderate,within 1 hour
55,Substance Abuse,dependency,"084 Joy Point Apt. 590, Kylefurt, FL 22329",22-11-2021 13:08,substance abuse,high,within 5 hours
56,Health Issue,injury,"6455 Bradley Brooks, Hamiltonport, DC 38908",28-05-2020 16:49,medical condition,moderate,within 6 hours
57,Substance Abuse,drug abuse,"581 Anderson Plain Suite 381, Douglasfort, CA 77708",19-02-2020 15:49,dependency,very high,within 2 hours
58,Substance Abuse,dependency,"Unit 4978 Box 8876, DPO AE 59183",02-01-2024 16:25,dependency,very high,within 5 hours
59,Relationship Issue,divorce,"756 Kelley Extension, North Teresa, FL 03285",01-02-2024 19:21,breakup,moderate,within 3 hours
60,Mental Health Concern,depression,"8264 Singleton Knolls, Lake Justinside, DE 45601",15-10-2021 16:17,stress,very low,within 1 hour
61,Financial Problem,debt,"85416 Bobby Lights Apt. 861, South Elizabeth, OR 02785",11-09-2021 08:03,money issue,moderate,within 4 hours
62,Health Issue,sickness,"2778 Hayes Villages Suite 438, Amandatown, MH 52130",06-01-2020 08:11,health issue,low,within 1 hour
63,Mental Health Concern,mental health concern,"051 Yoder Shoals, Richville, TN 30388",21-11-2021 09:25,stress,moderate,within 1 hour
64,Health Issue,health issue,"22268 Spears Roads, Kennethborough, AK 73297",03-09-2023 13:54,injury,very low,within 3 hours
65,Relationship Issue,divorce,"0351 Kristen Loaf, Port Kimberlymouth, WA 25471",05-07-2023 19:55,divorce,moderate,within 6 hours
66,Financial Problem,bankruptcy,"0448 Dunn Trace Suite 293, New Robert, KS 09196",08-07-2021 00:49,debt,very high,within 5 hours
67,Health Issue,injury,"31637 Peter Knolls, Deleonshire, LA 00831",20-10-2023 11:48,sickness,very low,within 2 hours
68,Relationship Issue,divorce,"USNS Taylor, FPO AE 09010",22-06-2023 14:59,family conflict,moderate,within 5 hours
69,Substance Abuse,addiction,"Unit 3347 Box 4671, DPO AP 20631",09-10-2023 17:56,dependency,very high,within 3 hours
70,Financial Problem,bankruptcy,"USNS Diaz, FPO AE 96069",05-08-2023 05:08,bankruptcy,moderate,within 1 hour
71,Relationship Issue,loneliness,"3869 Elizabeth Port Apt. 415, East Kayla, AL 77379",01-05-2021 18:42,breakup,moderate,within 6 hours
72,Mental Health Concern,anxiety,"5403 Adam Loop, Christianton, AS 96287",21-07-2021 16:06,trauma,low,within 3 hours
73,Relationship Issue,loneliness,"36572 Dalton Lights Suite 394, Wilsonville, WY 38376",19-02-2021 12:32,relationship issue,high,within 5 hours
74,Relationship Issue,family conflict,"3290 Megan Squares, Justinberg, MI 58547",24-01-2022 03:39,loneliness,very low,within 2 hours
75,Health Issue,sickness,"6645 Tammy Estates Suite 860, Campbellland, OH 62276",10-05-2022 00:15,medical condition,very low,within 4 hours
76,Mental Health Concern,mental health concern,"505 Brittany Harbors, Lake Ashleyshire, AS 38564",22-05-2022 13:44,anxiety,low,within 1 hour
77,Mental Health Concern,stress,"263 Terry Rue, West Ericberg, LA 86021",08-10-2020 21:43,depression,high,within 3 hours
78,Substance Abuse,dependency,"1869 Debra Stravenue Apt. 419, Ginamouth, WA 97157",24-12-2021 09:34,dependency,very high,within 2 hours
79,Financial Problem,money issue,"1976 Timothy Island, Sanchezland, TN 91756",03-04-2020 03:01,debt,low,within 6 hours
80,Relationship Issue,divorce,"10525 David Road Suite 234, Longfurt, KS 24816",10-05-2022 22:22,loneliness,very low,within 6 hours
81,Substance Abuse,substance abuse,"96927 Jones Brooks Apt. 252, West Cheryl, NV 06800",27-10-2022 08:27,substance abuse,moderate,within 1 hour
82,Relationship Issue,divorce,"5268 Thompson Haven Apt. 125, Bennettfort, TN 78531",25-08-2021 00:37,divorce,moderate,within 6 hours
83,Substance Abuse,dependency,"799 David Curve, Ericshire, FM 83810",02-01-2021 20:03,addiction,low,within 2 hours
84,Relationship Issue,loneliness,"15683 Tina Causeway, North Kristin, GU 35044",01-04-2023 01:25,family conflict,moderate,within 6 hours
85,Health Issue,health issue,"8237 Foster Junction, Jameschester, NC 41258",12-12-2021 15:20,illness,high,within 5 hours
86,Mental Health Concern,depression,"26444 Joseph Pine, Gibsonview, MT 22905",08-03-2022 05:57,anxiety,low,within 6 hours
87,Financial Problem,bankruptcy,"849 Walker Walk, Ryanfurt, ND 47503",16-01-2020 09:48,bankruptcy,high,within 4 hours
88,Substance Abuse,alcoholism,"25030 Mcgee Station Apt. 873, South Michaelview, NJ 77661",29-03-2022 05:20,drug abuse,very low,within 3 hours
89,Relationship Issue,breakup,"241 Alexander Lock Suite 761, East Davidton, DE 54758",12-08-2023 05:51,breakup,high,within 2 hours
90,Substance Abuse,addiction,"Unit 2878 Box 1510, DPO AP 67115",24-11-2023 15:31,addiction,very high,within 3 hours
91,Financial Problem,financial problem,"99643 Melissa Isle Suite 140, Bryantfurt, WV 72528",25-12-2022 06:58,financial problem,very low,within 2 hours
92,Health Issue,sickness,"50297 Blackwell Bypass Suite 810, Lynchhaven, MP 04189",21-05-2021 06:36,injury,moderate,within 3 hours
93,Relationship Issue,loneliness,"6068 Glenn Point Apt. 171, Mcclureside, MA 37663",25-08-2021 11:01,loneliness,high,within 5 hours
94,Mental Health Concern,trauma,"2236 Karen Mountain Suite 717, Sarahport, NE 43720",19-05-2021 23:49,trauma,moderate,within 2 hours
95,Mental Health Concern,trauma,"USCGC Smith, FPO AA 79897",10-03-2021 05:59,mental health concern,low,within 2 hours
96,Substance Abuse,drug abuse,"6968 Anderson Mews Apt. 508, South Peter, PR 56941",17-09-2022 14:36,drug abuse,moderate,within 4 hours
97,Substance Abuse,addiction,"13556 Merritt Manors Suite 944, Lake Jeremyfort, TN 49551",02-11-2023 07:10,addiction,high,within 2 hours
98,Mental Health Concern,depression,"55270 Boone Plaza Apt. 475, Baldwinmouth, AK 29807",11-08-2022 15:22,trauma,low,within 3 hours
99,Substance Abuse,substance abuse,"43206 Brown Prairie, Gregorymouth, PW 37242",07-07-2022 20:25,substance abuse,moderate,within 4 hours
100,Financial Problem,poverty,"492 Cole Stream Suite 270, Jamesville, AK 23157",29-06-2022 02:35,debt,high,within 2 hours
101,Health Issue,health issue,"840 Steven Parks Apt. 038, Castanedaborough, MH 28246",16-01-2020 14:44,illness,very high,within 3 hours
102,Health Issue,health issue,"USS Davis, FPO AA 13012",03-11-2021 08:18,illness,high,within 4 hours
103,Substance Abuse,addiction,"47299 Shelton Heights, Port Shannon, NE 06754",23-07-2021 21:14,addiction,very high,within 5 hours
104,Mental Health Concern,trauma,"0249 Aaron Flat, Lake Jenna, AZ 15065",20-05-2020 15:06,mental health concern,moderate,within 1 hour
105,Relationship Issue,family conflict,"Unit 7692 Box 9034, DPO AP 93179",27-06-2023 22:39,breakup,high,within 6 hours
106,Mental Health Concern,anxiety,"78675 Angela Expressway, South Lynn, LA 80506",21-09-2022 04:36,trauma,very high,within 3 hours
107,Mental Health Concern,mental health concern,"120 Raymond Landing Apt. 937, Kellerview, NJ 52248",19-06-2021 02:38,anxiety,moderate,within 6 hours
108,Mental Health Concern,stress,"4997 Daniels Village, Davidshire, CA 79412",02-02-2022 14:55,stress,high,within 4 hours
109,Health Issue,injury,"316 Kyle Divide, East Julie, PR 33816",11-03-2021 14:09,injury,very high,within 6 hours
110,Financial Problem,poverty,"873 Morris Ridges Suite 359, New Michaelport, MP 47545",18-06-2020 00:30,bankruptcy,very low,within 6 hours
111,Relationship Issue,relationship issue,"9620 Daniel Port Suite 688, East Brittany, ND 26076",11-06-2021 08:23,divorce,high,within 2 hours
112,Relationship Issue,divorce,"725 Watts Mountain, Josephberg, ND 36822",29-11-2023 09:00,divorce,very low,within 5 hours
113,Financial Problem,bankruptcy,"2930 Conrad Forge Suite 533, Richardshire, PW 79514",05-02-2023 14:23,financial problem,very high,within 1 hour
114,Relationship Issue,breakup,"46671 Higgins Causeway, Port Jerry, PR 32134",23-04-2020 20:56,family conflict,low,within 3 hours
115,Health Issue,injury,"23199 Stewart Cape, Markberg, CO 94802",17-08-2020 01:10,health issue,high,within 5 hours
116,Relationship Issue,loneliness,"830 Jimenez Roads Suite 671, Brittanychester, DC 37662",10-04-2021 14:01,loneliness,moderate,within 2 hours
117,Relationship Issue,loneliness,"77523 Perry Lodge Apt. 779, West Douglas, AL 91597",27-08-2023 20:55,breakup,moderate,within 2 hours
118,Substance Abuse,alcoholism,"USNV Mccormick, FPO AA 61625",19-06-2020 17:22,addiction,moderate,within 2 hours
119,Relationship Issue,divorce,"62580 Little Pike Apt. 879, Lake Luistown, WV 39126",02-09-2021 05:42,breakup,very high,within 3 hours
120,Substance Abuse,drug abuse,"Unit 3242 Box 8811, DPO AP 13831",18-06-2021 18:27,dependency,very high,within 2 hours
121,Relationship Issue,divorce,"139 Nicholas Inlet Suite 141, Smithborough, FL 63159",30-05-2023 08:09,relationship issue,moderate,within 6 hours
122,Substance Abuse,dependency,"29246 Tracey Groves, East Nicholasfort, RI 09534",26-02-2024 04:12,drug abuse,high,within 5 hours
123,Mental Health Concern,anxiety,"78193 Samantha Points, New John, NY 38450",12-01-2023 03:14,trauma,low,within 1 hour
124,Mental Health Concern,mental health concern,"494 Reese Flats, South Paul, GU 98203",19-06-2022 03:11,mental health concern,moderate,within 2 hours
125,Health Issue,medical condition,"2400 David Plains, Alexandershire, VT 41147",31-10-2022 01:22,health issue,high,within 3 hours
126,Financial Problem,poverty,"49466 Colin Extensions, Bryantberg, OH 46815",18-06-2021 03:42,debt,low,within 5 hours
127,Financial Problem,debt,"2913 Calderon Brooks Suite 954, West Davidtown, NH 52830",01-07-2022 13:59,financial problem,high,within 6 hours
128,Health Issue,health issue,"119 Ronald Radial Suite 229, East Candiceport, MH 14645",19-04-2022 14:30,medical condition,moderate,within 3 hours
129,Relationship Issue,divorce,"Unit 9480 Box 3618, DPO AP 95221",29-01-2022 11:03,divorce,high,within 2 hours
130,Financial Problem,bankruptcy,"79176 Holly Causeway Apt. 938, West Christineland, NV 74019",27-12-2022 00:19,money issue,very low,within 6 hours
131,Financial Problem,money issue,"USS Williams, FPO AA 75503",01-01-2022 16:39,financial problem,very high,within 3 hours
132,Health Issue,sickness,"6884 Turner Hills Suite 049, Andreaburgh, VI 52280",02-01-2022 07:05,health issue,moderate,within 2 hours
133,Financial Problem,money issue,"257 Christopher Parks, South Susanville, TX 57553",28-05-2021 13:41,financial problem,low,within 4 hours
134,Mental Health Concern,depression,"950 Cruz Underpass, New Erin, CT 56773",21-02-2024 12:04,anxiety,low,within 5 hours
135,Health Issue,medical condition,"445 Jessica Inlet Suite 153, Richardstad, TN 20939",06-05-2022 20:08,illness,moderate,within 1 hour
136,Financial Problem,poverty,"1696 Edward Summit, Port Kevin, CA 36509",20-03-2021 02:44,financial problem,high,within 1 hour
137,Health Issue,injury,"9969 Benton Pines Apt. 014, Alanburgh, AZ 02891",25-01-2023 15:24,health issue,very low,within 5 hours
138,Relationship Issue,divorce,"88337 Barbara Way, Jacobbury, MT 11011",27-12-2020 11:36,family conflict,very high,within 3 hours
139,Health Issue,health issue,"299 Michael Village Suite 896, Alexanderburgh, NJ 67390",30-03-2023 16:06,medical condition,high,within 3 hours
140,Relationship Issue,loneliness,"9717 Margaret Prairie, Lindsaychester, SC 82609",28-02-2022 08:08,loneliness,moderate,within 4 hours
141,Relationship Issue,breakup,"38337 Estrada Garden Apt. 634, Lake Deannaton, DC 03099",01-04-2022 04:42,breakup,low,within 6 hours
142,Mental Health Concern,mental health concern,"6152 Kevin Roads, Annatown, DE 32242",20-01-2020 19:16,trauma,very high,within 5 hours
143,Financial Problem,poverty,"Unit 9269 Box 5938, DPO AP 47847",13-01-2020 10:30,poverty,very low,within 4 hours
144,Financial Problem,debt,"89030 Willis Pines Suite 968, Whiteborough, UT 27107",24-03-2024 08:34,bankruptcy,moderate,within 4 hours
145,Mental Health Concern,anxiety,"8838 Rocha Island, North Michelehaven, SC 93980",12-09-2020 00:29,anxiety,high,within 1 hour
146,Health Issue,sickness,"USS Johnson, FPO AP 74867",20-04-2022 19:36,health issue,very low,within 3 hours
147,Relationship Issue,relationship issue,"PSC 6830, Box 0645, APO AE 21307",20-05-2020 00:57,divorce,very high,within 1 hour
148,Financial Problem,debt,"1226 Cody Orchard Apt. 704, Matthewport, AZ 94864",24-08-2020 21:12,debt,low,within 3 hours
149,Substance Abuse,dependency,"5505 Davenport Road, Robertview, NV 67918",13-07-2021 04:30,dependency,very high,within 4 hours
150,Health Issue,medical condition,"28583 Patrick Cliffs Apt. 276, North Samantha, DE 10162",05-10-2023 21:12,medical condition,very high,within 6 hours
151,Financial Problem,debt,"9421 Jones Garden, North Maryhaven, WY 19795",28-05-2023 23:55,debt,moderate,within 3 hours
152,Financial Problem,financial problem,"56021 Thomas Ford Apt. 907, Amyberg, HI 16992",28-12-2021 21:35,poverty,high,within 1 hour
153,Health Issue,injury,"645 Myers Avenue Suite 088, North James, NY 22680",06-09-2020 09:07,health issue,low,within 6 hours
154,Mental Health Concern,depression,"604 Rosales Drive Suite 907, Lake Rhonda, CO 05328",27-07-2021 21:39,anxiety,very high,within 4 hours
155,Substance Abuse,alcoholism,"2841 Bernard Key, North Michael, ID 94766",25-02-2020 22:22,drug abuse,moderate,within 1 hour
156,Mental Health Concern,trauma,"924 Bryan Village Suite 375, East Jeffrey, MP 10333",14-06-2021 22:45,anxiety,high,within 2 hours
157,Relationship Issue,breakup,"9002 Bender Ramp Apt. 891, East Mary, SD 45314",09-09-2021 03:51,divorce,moderate,within 3 hours
158,Financial Problem,financial problem,"417 Davis Meadow, Andersonville, GA 55484",20-07-2022 07:45,bankruptcy,very high,within 5 hours
159,Health Issue,sickness,"132 Johnathan Way Suite 625, Thomasfort, IN 16172",21-10-2023 01:48,illness,low,within 2 hours
160,Financial Problem,financial problem,"6446 Roberts Cape Suite 417, East Haley, VI 63850",22-05-2021 20:28,bankruptcy,low,within 5 hours
161,Financial Problem,debt,"5309 Lauren Dale, South Jerryton, HI 75778",15-09-2022 10:28,bankruptcy,high,within 4 hours
162,Relationship Issue,family conflict,"2546 Robert Port, New Alyssatown, MO 78215",30-09-2022 00:37,loneliness,high,within 4 hours
163,Financial Problem,money issue,"88640 Miller Walk, Frankbury, WA 36245",29-01-2023 07:45,money issue,high,within 1 hour
164,Mental Health Concern,stress,"USS Gardner, FPO AE 60935",02-07-2021 19:31,depression,very high,within 4 hours
165,Health Issue,health issue,"99856 Shelby Row Suite 213, Port Jason, VI 21763",07-06-2022 02:54,illness,very high,within 4 hours
166,Relationship Issue,breakup,"82027 Jessica Wells Apt. 381, South Davidport, MA 40020",24-10-2021 05:52,breakup,low,within 5 hours
167,Health Issue,medical condition,"32428 Debra Tunnel Suite 446, Lake Melanie, CA 63972",23-01-2023 08:52,injury,low,within 6 hours
168,Relationship Issue,loneliness,"71893 Wilson Pass, East Natalie, GU 37858",05-03-2022 03:01,divorce,very low,within 5 hours
169,Financial Problem,financial problem,"912 Brent Vista, Port Michael, RI 67046",26-05-2022 11:18,bankruptcy,moderate,within 6 hours
170,Financial Problem,bankruptcy,"4558 Melinda Orchard Apt. 155, Amandaview, IN 29406",24-09-2021 03:28,debt,high,within 6 hours
171,Financial Problem,money issue,"507 Ewing Center, Port Jackfort, AZ 22507",30-04-2021 22:46,poverty,high,within 2 hours
172,Mental Health Concern,depression,"5104 Hansen Vista Apt. 215, Adkinsmouth, VT 27389",26-12-2021 14:19,mental health concern,very low,within 6 hours
173,Mental Health Concern,anxiety,"7510 Joseph Extensions, Thompsonhaven, RI 13197",20-12-2021 08:16,mental health concern,very low,within 2 hours
174,Mental Health Concern,trauma,"4559 Brad Hollow Suite 409, Matthewberg, MN 11109",02-05-2020 07:55,stress,moderate,within 1 hour
175,Mental Health Concern,trauma,"5010 Key Green, Lake Garyland, AS 28660",05-04-2022 12:38,anxiety,very high,within 3 hours
176,Mental Health Concern,depression,"83519 Mary Crossroad, South Cheryl, NY 73344",21-08-2022 14:13,trauma,very low,within 6 hours
177,Financial Problem,poverty,"56960 Seth Wall, Port Janeton, MA 10803",21-10-2020 18:14,bankruptcy,low,within 1 hour
178,Relationship Issue,loneliness,"89843 Alexis Station Apt. 620, Villegaschester, CA 61263",31-01-2022 23:35,relationship issue,very high,within 5 hours
179,Health Issue,sickness,"9797 Williams Motorway Apt. 186, Harrisonmouth, SC 97941",01-10-2020 12:01,medical condition,low,within 3 hours
180,Relationship Issue,breakup,"Unit 0247 Box 0115, DPO AP 06236",08-04-2023 21:15,loneliness,very high,within 4 hours
181,Financial Problem,money issue,"41781 Smith Groves Apt. 962, Justintown, FL 10833",07-07-2021 21:20,debt,very low,within 2 hours
182,Health Issue,medical condition,"82058 Baker Heights, Lake Vincent, AS 30520",22-12-2022 20:24,medical condition,very low,within 6 hours
183,Relationship Issue,family conflict,"5260 Juan Valleys Suite 827, Christown, CA 95855",29-12-2021 12:58,divorce,very high,within 6 hours
184,Relationship Issue,divorce,"145 Erin Corner Suite 394, East Jessicafort, MA 39462",14-04-2020 04:38,family conflict,high,within 6 hours
185,Health Issue,medical condition,"00791 Bailey Flat Apt. 535, Lake Debrastad, WA 82236",17-06-2020 01:55,medical condition,moderate,within 3 hours
186,Mental Health Concern,depression,"025 Anthony Heights, North Kennethburgh, MH 81202",09-01-2023 06:15,stress,high,within 6 hours
187,Relationship Issue,divorce,"3815 Diane Station Apt. 558, Lake Tylerside, TX 76758",11-07-2020 22:08,relationship issue,very low,within 2 hours
188,Health Issue,injury,"105 Walsh Valley Suite 743, New Matthewberg, NC 59151",18-01-2020 13:34,health issue,very high,within 6 hours
189,Relationship Issue,divorce,"12962 Tyler Views, Nicholasfurt, IN 94514",19-11-2021 11:04,breakup,high,within 6 hours
190,Relationship Issue,loneliness,"71846 Carter Mountains, West Ericstad, AZ 96103",27-06-2021 10:38,divorce,low,within 2 hours
191,Financial Problem,debt,"PSC 1679, Box 1502, APO AA 20872",15-10-2023 19:36,money issue,low,within 2 hours
192,Substance Abuse,alcoholism,"2985 Webster Field Apt. 925, Michellechester, VA 54553",04-10-2023 23:06,addiction,high,within 5 hours
193,Mental Health Concern,anxiety,"4225 Bates Crossroad Apt. 602, South Kimberly, MI 41201",24-03-2021 13:30,depression,high,within 4 hours
194,Health Issue,health issue,"PSC 7227, Box 7172, APO AA 92659",13-03-2024 13:16,health issue,moderate,within 1 hour
195,Relationship Issue,breakup,"7146 Jones Summit Apt. 938, Jorgestad, NC 05371",13-07-2022 08:47,loneliness,high,within 1 hour
196,Financial Problem,debt,"Unit 6243 Box 3422, DPO AA 84814",15-04-2020 02:55,bankruptcy,moderate,within 2 hours
197,Health Issue,sickness,"714 April Village Suite 027, Danielside, MN 54975",22-02-2021 10:32,injury,low,within 3 hours
198,Relationship Issue,loneliness,"13637 Flores Island, East Gloria, TX 31279",14-02-2024 19:32,family conflict,high,within 3 hours
199,Mental Health Concern,depression,"32847 Clark Avenue Apt. 019, Rodriguezton, MP 83849",29-05-2023 16:01,mental health concern,low,within 3 hours
200,Substance Abuse,substance abuse,"32764 Ryan Burgs Apt. 606, East Amberside, MD 53000",09-12-2022 08:36,substance abuse,moderate,within 4 hours
201,Health Issue,illness,"6943 Rivera Walks Suite 722, Christopherville, MS 31990",09-09-2023 07:35,sickness,very low,within 1 hour
202,Relationship Issue,loneliness,"14203 Nicole Keys Apt. 082, West Aaron, ND 18416",15-07-2021 23:01,loneliness,high,within 4 hours
203,Health Issue,injury,"0926 Lewis Ports Apt. 824, Chloeberg, WY 28308",17-02-2020 09:04,medical condition,high,within 1 hour
204,Relationship Issue,family conflict,"57336 Frank Cape Suite 458, Tiffanytown, AS 54034",19-07-2021 03:45,family conflict,very high,within 6 hours
205,Relationship Issue,relationship issue,"58905 Arnold Plains Apt. 652, Collinsville, GA 21586",06-04-2020 12:29,divorce,moderate,within 4 hours
206,Health Issue,illness,"069 Haynes Field, Kathrynview, WI 31012",31-07-2023 07:40,sickness,high,within 2 hours
207,Relationship Issue,loneliness,"716 Michael Summit, North Davidport, SC 15485",10-08-2021 09:10,family conflict,very low,within 3 hours
208,Substance Abuse,dependency,"622 Garcia Dale, Huntstad, MS 95374",07-01-2024 17:14,alcoholism,high,within 3 hours
209,Relationship Issue,loneliness,"02228 Harrison Islands, Lake Mary, ME 55383",07-08-2022 15:06,breakup,moderate,within 5 hours
210,Financial Problem,bankruptcy,"474 Moore Drive, New Jeffreyborough, AS 06405",02-07-2021 23:35,money issue,moderate,within 3 hours
